序號,答案
20240117090001,3.53
20240117091001,3.53
20240117092001,3.53
20240117093001,3.53
20240117094001,3.53
20240117095001,3.53
20240117100001,3.53
20240117101001,3.53
20240117102001,3.53
20240117103001,3.53
20240117104001,3.53
20240117105001,3.53
20240117110001,3.53
20240117111001,3.53
20240117112001,3.53
20240117113001,3.53
20240117114001,3.53
20240117115001,3.53
20240117120001,3.53
20240117121001,3.95
20240117122001,3.95
20240117123001,3.95
20240117124001,3.95
20240117125001,3.95
20240117130001,3.95
20240117131001,3.95
20240117132001,3.95
20240117133001,3.95
20240117134001,3.95
20240117135001,3.95
20240117140001,3.95
20240117141001,3.95
20240117142001,3.95
20240117143001,3.95
20240117144001,3.95
20240117145001,3.95
20240117150001,3.95
20240117151001,3.95
20240117152001,3.95
20240117153001,3.95
20240117154001,3.95
20240117155001,3.53
20240117160001,3.53
20240117161001,3.53
20240117162001,3.53
20240117163001,3.53
20240117164001,3.53
20240117165001,3.53
20240119090001,3.53
20240119091001,3.53
20240119092001,3.53
20240119093001,3.53
20240119094001,3.53
20240119095001,3.53
20240119100001,3.53
20240119101001,3.53
20240119102001,3.53
20240119103001,3.53
20240119104001,3.53
20240119105001,3.53
20240119110001,3.53
20240119111001,3.53
20240119112001,3.53
20240119113001,3.53
20240119114001,3.53
20240119115001,3.53
20240119120001,3.53
20240119121001,3.95
20240119122001,3.95
20240119123001,3.95
20240119124001,3.95
20240119125001,3.95
20240119130001,3.95
20240119131001,3.95
20240119132001,3.95
20240119133001,3.95
20240119134001,3.95
20240119135001,3.95
20240119140001,3.95
20240119141001,3.95
20240119142001,3.95
20240119143001,3.95
20240119144001,3.95
20240119145001,3.95
20240119150001,3.95
20240119151001,3.95
20240119152001,3.95
20240119153001,3.95
20240119154001,3.95
20240119155001,3.53
20240119160001,3.53
20240119161001,3.53
20240119162001,3.53
20240119163001,3.53
20240119164001,3.53
20240119165001,3.53
20240224090001,3.53
20240224091001,3.53
20240224092001,3.53
20240224093001,3.53
20240224094001,3.53
20240224095001,3.53
20240224100001,3.53
20240224101001,3.53
20240224102001,3.53
20240224103001,3.53
20240224104001,3.53
20240224105001,3.53
20240224110001,3.53
20240224111001,3.53
20240224112001,3.53
20240224113001,3.53
20240224114001,3.53
20240224115001,3.53
20240224120001,3.53
20240224121001,3.95
20240224122001,3.95
20240224123001,3.95
20240224124001,3.95
20240224125001,3.95
20240224130001,3.95
20240224131001,3.95
20240224132001,3.95
20240224133001,3.95
20240224134001,3.95
20240224135001,3.95
20240224140001,3.95
20240224141001,3.95
20240224142001,3.95
20240224143001,3.95
20240224144001,3.95
20240224145001,3.95
20240224150001,3.95
20240224151001,3.95
20240224152001,3.95
20240224153001,3.95
20240224154001,3.95
20240224155001,3.53
20240224160001,3.53
20240224161001,3.53
20240224162001,3.53
20240224163001,3.53
20240224164001,3.53
20240224165001,3.53
20240226090001,3.53
20240226091001,3.53
20240226092001,3.53
20240226093001,3.53
20240226094001,3.53
20240226095001,3.53
20240226100001,3.53
20240226101001,3.53
20240226102001,3.53
20240226103001,3.53
20240226104001,3.53
20240226105001,3.53
20240226110001,3.53
20240226111001,3.53
20240226112001,3.53
20240226113001,3.53
20240226114001,3.53
20240226115001,3.53
20240226120001,3.53
20240226121001,3.95
20240226122001,3.95
20240226123001,3.95
20240226124001,3.95
20240226125001,3.95
20240226130001,3.95
20240226131001,3.95
20240226132001,3.95
20240226133001,3.95
20240226134001,3.95
20240226135001,3.95
20240226140001,3.95
20240226141001,3.95
20240226142001,3.95
20240226143001,3.95
20240226144001,3.95
20240226145001,3.95
20240226150001,3.95
20240226151001,3.95
20240226152001,3.95
20240226153001,3.95
20240226154001,3.95
20240226155001,3.53
20240226160001,3.53
20240226161001,3.53
20240226162001,3.53
20240226163001,3.53
20240226164001,3.53
20240226165001,3.53
20240327090001,3.53
20240327091001,3.53
20240327092001,3.53
20240327093001,3.53
20240327094001,3.53
20240327095001,3.53
20240327100001,3.53
20240327101001,3.53
20240327102001,3.53
20240327103001,3.53
20240327104001,3.53
20240327105001,3.53
20240327110001,3.53
20240327111001,3.53
20240327112001,3.53
20240327113001,3.53
20240327114001,3.53
20240327115001,3.53
20240327120001,3.53
20240327121001,3.95
20240327122001,3.95
20240327123001,3.95
20240327124001,3.95
20240327125001,3.95
20240327130001,3.95
20240327131001,3.95
20240327132001,3.95
20240327133001,3.95
20240327134001,3.95
20240327135001,3.95
20240327140001,3.95
20240327141001,3.95
20240327142001,3.95
20240327143001,3.95
20240327144001,3.95
20240327145001,3.95
20240327150001,3.95
20240327151001,3.95
20240327152001,3.95
20240327153001,3.95
20240327154001,3.95
20240327155001,3.53
20240327160001,3.53
20240327161001,3.53
20240327162001,3.53
20240327163001,3.53
20240327164001,3.53
20240327165001,3.53
20240329090001,3.53
20240329091001,3.53
20240329092001,3.53
20240329093001,3.53
20240329094001,3.53
20240329095001,3.53
20240329100001,3.53
20240329101001,3.53
20240329102001,3.53
20240329103001,3.53
20240329104001,3.53
20240329105001,3.53
20240329110001,3.53
20240329111001,3.53
20240329112001,3.53
20240329113001,3.53
20240329114001,3.53
20240329115001,3.53
20240329120001,3.53
20240329121001,3.95
20240329122001,3.95
20240329123001,3.95
20240329124001,3.95
20240329125001,3.95
20240329130001,3.95
20240329131001,3.95
20240329132001,3.95
20240329133001,3.95
20240329134001,3.95
20240329135001,3.95
20240329140001,3.95
20240329141001,3.95
20240329142001,3.95
20240329143001,3.95
20240329144001,3.95
20240329145001,3.95
20240329150001,3.95
20240329151001,3.95
20240329152001,3.95
20240329153001,3.95
20240329154001,3.95
20240329155001,3.53
20240329160001,3.53
20240329161001,3.53
20240329162001,3.53
20240329163001,3.53
20240329164001,3.53
20240329165001,3.53
20240428090001,3.53
20240428091001,3.53
20240428092001,3.53
20240428093001,3.53
20240428094001,3.53
20240428095001,3.53
20240428100001,3.53
20240428101001,3.53
20240428102001,3.53
20240428103001,3.53
20240428104001,3.53
20240428105001,3.53
20240428110001,3.53
20240428111001,3.53
20240428112001,3.53
20240428113001,3.53
20240428114001,3.53
20240428115001,3.53
20240428120001,3.53
20240428121001,3.95
20240428122001,3.95
20240428123001,3.95
20240428124001,3.95
20240428125001,3.95
20240428130001,3.95
20240428131001,3.95
20240428132001,3.95
20240428133001,3.95
20240428134001,3.95
20240428135001,3.95
20240428140001,3.95
20240428141001,3.95
20240428142001,3.95
20240428143001,3.95
20240428144001,3.95
20240428145001,3.95
20240428150001,3.95
20240428151001,3.95
20240428152001,3.95
20240428153001,3.95
20240428154001,3.95
20240428155001,3.53
20240428160001,3.53
20240428161001,3.53
20240428162001,3.53
20240428163001,3.53
20240428164001,3.53
20240428165001,3.53
20240430090001,3.53
20240430091001,3.53
20240430092001,3.53
20240430093001,3.53
20240430094001,3.53
20240430095001,3.53
20240430100001,3.53
20240430101001,3.53
20240430102001,3.53
20240430103001,3.53
20240430104001,3.53
20240430105001,3.53
20240430110001,3.53
20240430111001,3.53
20240430112001,3.53
20240430113001,3.53
20240430114001,3.53
20240430115001,3.53
20240430120001,3.53
20240430121001,3.95
20240430122001,3.95
20240430123001,3.95
20240430124001,3.95
20240430125001,3.95
20240430130001,3.95
20240430131001,3.95
20240430132001,3.95
20240430133001,3.95
20240430134001,3.95
20240430135001,3.95
20240430140001,3.95
20240430141001,3.95
20240430142001,3.95
20240430143001,3.95
20240430144001,3.95
20240430145001,3.95
20240430150001,3.95
20240430151001,3.95
20240430152001,3.95
20240430153001,3.95
20240430154001,3.95
20240430155001,3.53
20240430160001,3.53
20240430161001,3.53
20240430162001,3.53
20240430163001,3.53
20240430164001,3.53
20240430165001,3.53
20240515090001,3.53
20240515091001,3.53
20240515092001,3.53
20240515093001,3.53
20240515094001,3.53
20240515095001,3.53
20240515100001,3.53
20240515101001,3.53
20240515102001,3.53
20240515103001,3.53
20240515104001,3.53
20240515105001,3.53
20240515110001,3.53
20240515111001,3.53
20240515112001,3.53
20240515113001,3.53
20240515114001,3.53
20240515115001,3.53
20240515120001,3.53
20240515121001,3.95
20240515122001,3.95
20240515123001,3.95
20240515124001,3.95
20240515125001,3.95
20240515130001,3.95
20240515131001,3.95
20240515132001,3.95
20240515133001,3.95
20240515134001,3.95
20240515135001,3.95
20240515140001,3.95
20240515141001,3.95
20240515142001,3.95
20240515143001,3.95
20240515144001,3.95
20240515145001,3.95
20240515150001,3.95
20240515151001,3.95
20240515152001,3.95
20240515153001,3.95
20240515154001,3.95
20240515155001,3.53
20240515160001,3.53
20240515161001,3.53
20240515162001,3.53
20240515163001,3.53
20240515164001,3.53
20240515165001,3.53
20240520090001,3.53
20240520091001,3.53
20240520092001,3.53
20240520093001,3.53
20240520094001,3.53
20240520095001,3.53
20240520100001,3.53
20240520101001,3.53
20240520102001,3.53
20240520103001,3.53
20240520104001,3.53
20240520105001,3.53
20240520110001,3.53
20240520111001,3.53
20240520112001,3.53
20240520113001,3.53
20240520114001,3.53
20240520115001,3.53
20240520120001,3.53
20240520121001,3.95
20240520122001,3.95
20240520123001,3.95
20240520124001,3.95
20240520125001,3.95
20240520130001,3.95
20240520131001,3.95
20240520132001,3.95
20240520133001,3.95
20240520134001,3.95
20240520135001,3.95
20240520140001,3.95
20240520141001,3.95
20240520142001,3.95
20240520143001,3.95
20240520144001,3.95
20240520145001,3.95
20240520150001,3.95
20240520151001,3.95
20240520152001,3.95
20240520153001,3.95
20240520154001,3.95
20240520155001,3.53
20240520160001,3.53
20240520161001,3.53
20240520162001,3.53
20240520163001,3.53
20240520164001,3.53
20240520165001,3.53
20240613090001,3.53
20240613091001,3.53
20240613092001,3.53
20240613093001,3.53
20240613094001,3.53
20240613095001,3.53
20240613100001,3.53
20240613101001,3.53
20240613102001,3.53
20240613103001,3.53
20240613104001,3.53
20240613105001,3.53
20240613110001,3.53
20240613111001,3.53
20240613112001,3.53
20240613113001,3.53
20240613114001,3.53
20240613115001,3.53
20240613120001,3.53
20240613121001,3.95
20240613122001,3.95
20240613123001,3.95
20240613124001,3.95
20240613125001,3.95
20240613130001,3.95
20240613131001,3.95
20240613132001,3.95
20240613133001,3.95
20240613134001,3.95
20240613135001,3.95
20240613140001,3.95
20240613141001,3.95
20240613142001,3.95
20240613143001,3.95
20240613144001,3.95
20240613145001,3.95
20240613150001,3.95
20240613151001,3.95
20240613152001,3.95
20240613153001,3.95
20240613154001,3.95
20240613155001,3.53
20240613160001,3.53
20240613161001,3.53
20240613162001,3.53
20240613163001,3.53
20240613164001,3.53
20240613165001,3.53
20240615090001,3.53
20240615091001,3.53
20240615092001,3.53
20240615093001,3.53
20240615094001,3.53
20240615095001,3.53
20240615100001,3.53
20240615101001,3.53
20240615102001,3.53
20240615103001,3.53
20240615104001,3.53
20240615105001,3.53
20240615110001,3.53
20240615111001,3.53
20240615112001,3.53
20240615113001,3.53
20240615114001,3.53
20240615115001,3.53
20240615120001,3.53
20240615121001,3.95
20240615122001,3.95
20240615123001,3.95
20240615124001,3.95
20240615125001,3.95
20240615130001,3.95
20240615131001,3.95
20240615132001,3.95
20240615133001,3.95
20240615134001,3.95
20240615135001,3.95
20240615140001,3.95
20240615141001,3.95
20240615142001,3.95
20240615143001,3.95
20240615144001,3.95
20240615145001,3.95
20240615150001,3.95
20240615151001,3.95
20240615152001,3.95
20240615153001,3.95
20240615154001,3.95
20240615155001,3.53
20240615160001,3.53
20240615161001,3.53
20240615162001,3.53
20240615163001,3.53
20240615164001,3.53
20240615165001,3.53
20240703090001,3.53
20240703091001,3.53
20240703092001,3.53
20240703093001,3.53
20240703094001,3.53
20240703095001,3.53
20240703100001,3.53
20240703101001,3.53
20240703102001,3.53
20240703103001,3.53
20240703104001,3.53
20240703105001,3.53
20240703110001,3.53
20240703111001,3.53
20240703112001,3.53
20240703113001,3.53
20240703114001,3.53
20240703115001,3.53
20240703120001,3.53
20240703121001,3.95
20240703122001,3.95
20240703123001,3.95
20240703124001,3.95
20240703125001,3.95
20240703130001,3.95
20240703131001,3.95
20240703132001,3.95
20240703133001,3.95
20240703134001,3.95
20240703135001,3.95
20240703140001,3.95
20240703141001,3.95
20240703142001,3.95
20240703143001,3.95
20240703144001,3.95
20240703145001,3.95
20240703150001,3.95
20240703151001,3.95
20240703152001,3.95
20240703153001,3.95
20240703154001,3.95
20240703155001,3.53
20240703160001,3.53
20240703161001,3.53
20240703162001,3.53
20240703163001,3.53
20240703164001,3.53
20240703165001,3.53
20240707090001,3.53
20240707091001,3.53
20240707092001,3.53
20240707093001,3.53
20240707094001,3.53
20240707095001,3.53
20240707100001,3.53
20240707101001,3.53
20240707102001,3.53
20240707103001,3.53
20240707104001,3.53
20240707105001,3.53
20240707110001,3.53
20240707111001,3.53
20240707112001,3.53
20240707113001,3.53
20240707114001,3.53
20240707115001,3.53
20240707120001,3.53
